item_id,sale_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted,item_total,sale_date,channel,channel_campaigns
2270,658,403,1,81.80,81.80,0.00,0.00%,FALSE,81.80,16/06/2025,App Mobile,App Mobile
1170,336,284,1,81.79,81.79,0.00,0.00%,FALSE,81.79,17/06/2025,E-commerce,Website Banner
2496,1255,71,1,80.76,80.76,0.00,0.00%,FALSE,80.76,16/04/2025,App Mobile,App Mobile
1273,331,98,1,78.52,78.52,0.00,0.00%,FALSE,78.52,06/5/2025,App Mobile,App Mobile
1829,1079,98,1,78.52,78.52,0.00,0.00%,FALSE,78.52,15/06/2025,App Mobile,App Mobile
3221,478,98,1,78.52,78.52,0.00,0.00%,FALSE,78.52,14/04/2025,App Mobile,App Mobile
2442,1082,257,1,77.90,77.90,0.00,0.00%,FALSE,77.90,06/4/2025,App Mobile,App Mobile
730,747,413,1,76.15,76.15,0.00,0.00%,FALSE,76.15,21/04/2025,App Mobile,App Mobile
2917,258,392,1,75.47,75.47,0.00,0.00%,FALSE,75.47,29/05/2025,E-commerce,Website Banner
3142,1144,392,1,75.47,75.47,0.00,0.00%,FALSE,75.47,20/05/2025,E-commerce,Website Banner
209,644,224,1,75.40,75.40,0.00,0.00%,FALSE,75.40,04/4/2025,E-commerce,Website Banner
1138,991,224,1,75.40,75.40,0.00,0.00%,FALSE,75.40,20/04/2025,App Mobile,App Mobile
1968,338,459,1,75.17,75.17,0.00,0.00%,FALSE,75.17,21/04/2025,E-commerce,Website Banner
2063,617,459,1,75.17,75.17,0.00,0.00%,FALSE,75.17,18/05/2025,E-commerce,Website Banner
2211,660,116,1,74.81,74.81,0.00,0.00%,FALSE,74.81,14/06/2025,App Mobile,App Mobile
3058,863,359,1,74.28,74.28,0.00,0.00%,FALSE,74.28,17/04/2025,E-commerce,Website Banner
1707,420,320,1,74.26,74.26,0.00,0.00%,FALSE,74.26,16/06/2025,App Mobile,App Mobile
1831,191,320,1,74.26,74.26,0.00,0.00%,FALSE,74.26,23/05/2025,App Mobile,App Mobile
2454,1013,420,1,72.58,72.58,0.00,0.00%,FALSE,72.58,30/04/2025,App Mobile,App Mobile
732,276,358,1,71.86,71.86,0.00,0.00%,FALSE,71.86,06/4/2025,App Mobile,App Mobile
202,473,398,1,71.15,71.15,0.00,0.00%,FALSE,71.15,30/04/2025,E-commerce,Website Banner
3189,179,379,1,70.82,70.82,0.00,0.00%,FALSE,70.82,29/05/2025,App Mobile,App Mobile
3113,482,463,1,70.56,70.56,0.00,0.00%,FALSE,70.56,24/05/2025,App Mobile,App Mobile
41,581,31,1,69.82,69.82,0.00,0.00%,FALSE,69.82,31/05/2025,E-commerce,Website Banner
1406,31,31,1,69.82,69.82,0.00,0.00%,FALSE,69.82,20/05/2025,App Mobile,App Mobile
2490,424,31,1,69.82,69.82,0.00,0.00%,FALSE,69.82,22/05/2025,App Mobile,App Mobile
929,33,353,1,69.54,69.54,0.00,0.00%,FALSE,69.54,23/04/2025,E-commerce,Website Banner
22,832,360,1,69.48,69.48,0.00,0.00%,FALSE,69.48,23/04/2025,E-commerce,Website Banner
1785,670,360,1,69.48,69.48,0.00,0.00%,FALSE,69.48,27/05/2025,App Mobile,App Mobile
684,209,474,1,68.47,68.47,0.00,0.00%,FALSE,68.47,31/05/2025,App Mobile,App Mobile
1253,1014,474,1,68.47,68.47,0.00,0.00%,FALSE,68.47,16/05/2025,E-commerce,Website Banner
3167,306,486,1,68.03,68.03,0.00,0.00%,FALSE,68.03,26/04/2025,E-commerce,Website Banner
3055,42,470,1,67.73,67.73,0.00,0.00%,FALSE,67.73,31/05/2025,App Mobile,App Mobile
1724,1213,67,1,67.37,67.37,0.00,0.00%,FALSE,67.37,16/05/2025,E-commerce,Website Banner
1762,1178,239,1,66.99,66.99,0.00,0.00%,FALSE,66.99,15/04/2025,App Mobile,App Mobile
1356,1128,307,1,66.87,66.87,0.00,0.00%,FALSE,66.87,31/05/2025,App Mobile,App Mobile
